Bedrooms,Bathrooms,Area,Zipcode,Price
5,3,2520,93446,789000
3,2,1802,93446,365000
3,3,2146,93446,455000
4,2.5,2464,91901,599000
2,2,1845,91901,529800
2,1,1184,91901,397500
4,2.5,3060,91901,699999
3,2.5,2733,91901,689000
3,2,1706,91901,529000
5,4.5,4886,91901,1430000
4,3.5,3029,91901,825000
4,2.5,2620,91901,619000
7,4,2929,91901,625000
4,3.5,3328,91901,1095000
3,2,2250,91901,625000
3,2.5,2836,91901,979000
2,2.5,1499,91901,539000
3,2,960,91901,65000
3,2,2671,91901,521500
5,3,3747,91901,925000
3,2.5,1675,91901,470000
4,2.5,3115,93446,629000
4,3.5,3426,91901,679000
3,2,1288,91901,549000
4,4,4042,91901,769000
2,2,1005,91901,245900
4,2.5,2726,91901,644900
3,3,1937,91901,895000
3,2.5,2445,91901,699000
3,2,1826,93446,529000
4,3.5,1084,91901,875000
4,3,3706,91901,848000
5,4.5,4874,91901,1499000
4,3,3277,91901,669000
3,3.5,4289,91901,1195000
5,3.5,3778,91901,949000
4,3,1613,91901,749900
6,6.5,7000,92677,3850000
4,2.5,6000,92677,869000
2,2.5,915,92677,347000
4,3,2965,92677,1349000
3,3,1825,92677,685000
4,3.5,3100,92677,1499999
3,2,1235,92677,469900
3,2.5,2248,92677,1199000
7,7,3265,92677,1200000
2,1,839,92677,324999
4,3.5,2441,92677,895500
3,3.5,2800,92677,1399999
1,1,800,92677,335000
2,2,1171,92677,389900
2,2,1935,92677,738000
3,2.5,1819,92677,798800
3,2.5,1950,92677,895000
3,2,1303,92677,619000
4,3,2614,92677,1045000
3,2.5,2141,92677,750000
3,2.5,1655,92677,649900
3,2.5,2225,92677,949000
3,2.5,2125,92677,728000
5,3.5,4245,92677,1895000
4,4.5,4038,92677,1795000
5,4,3489,92677,1650000
3,2,1299,94501,739000
2,1,1065,94501,629000
1,1,701,94501,339000
2,2,1313,94501,750000
3,2,2078,94501,888000
3,1.5,1524,94501,749000
3,2,1789,94501,895000
2,1.5,1120,94501,435000
3,2.5,2185,94501,490000
3,1.5,1253,94501,599000
2,1,766,94501,598000
5,3.5,2879,94501,1327685
6,4,3492,94501,1495000
4,3.5,3485,94501,1895000
4,2,1634,94501,899000
4,2.5,2020,94501,825000
3,1.5,1364,94501,729000
4,2.5,2300,94501,1188000
2,2,951,94501,538800
3,2,1490,94501,949000
2,1,834,94501,549000
2,1,805,94501,625000
1,1,766,94501,349000
2,2,994,94501,479000
3,2.5,1665,94501,875000
3,1.5,1581,94501,895000
3,2.5,1652,94501,649000
2,1.5,1056,94501,739000
2,2.5,1772,93446,499000
3,3,2361,94501,988000
3,3.5,2724,94501,1150000
2,1,1110,94501,649000
2,1,1016,94501,679000
3,2,1413,94501,619000
5,4,3743,94501,1295000
3,2,2504,94501,895000
3,3,1864,94501,995888
5,3,3122,94501,899000
3,2.5,1678,94501,668000
2,1,1134,94501,599000
3,1.5,1581,94501,895000
4,2.5,1602,94501,949000
5,3,3188,92880,567500
5,5,3701,92880,579000
5,5,4749,92880,749000
5,4,4014,92880,699000
6,4,4311,92880,695000
5,4,2809,92880,635900
6,4,3635,92880,585000
8,6,3849,92880,580000
4,3,3214,92880,547900
5,3,3677,92880,570000
5,3,3200,92880,568000
5,4,3270,92880,560000
5,5,4074,92880,550000
4,3,2951,92880,549999
5,4,3500,92880,545000
5,3,2622,92880,539900
5,3,3034,92880,539800
6,4,3375,92880,538000
5,3,3340,92880,534977
5,3,3075,92880,534888
5,3,3013,92880,530000
4,3,3000,92880,529900
4,3,3141,92880,529999
4,3,2650,92880,529900
5,3.5,3149,92880,515000
6,4,4311,92880,695000
5,3,3514,92880,649990
4,3,2870,92880,489000
4,3,3010,92880,490000
3,3,1905,92880,448000
6,4,4311,92880,669472
4,3,2579,92880,520000
4,4,2893,92880,520000
4,3,3099,92880,519900
4,5,3307,92880,519900
3,3,2367,92880,529000
4,3,3010,92880,525000
5,5,3816,92880,589900
2,2,1152,92276,96900
2,1.5,1800,92276,163000
2,2,2036,92276,175000
2,2,1344,92276,98000
2,1,1100,92276,36000
2,2,1248,92276,115000
2,2,1380,92276,125000
2,2,960,92276,100000
3,2,1368,92276,193000
3,2,2788,92276,385000
5,3.25,3149,92880,515000
4,5,3834,92880,530000
5,3,3767,92880,567000
5,3.5,3149,92880,500000
5,4,3565,92880,537000
6,3.5,3615,92880,647000
5,5,4014,92880,542000
5,5,3834,92880,565000
4,3,3572,92880,535000
4,3,2870,92880,489000
4,3,2570,92880,510000
4,2.5,2285,93510,560000
3,2,2691,93510,675000
3,2.5,2490,93510,450000
3,2,2160,93510,409900
3,2.5,2326,93510,553000
3,2.5,2260,93510,470000
3,1,1337,93510,335000
2,1,884,93510,400000
4,3,2987,93510,615000
3,2,1476,93510,485000
5,3,2983,93510,479000
5,4,3198,93510,695000
3,2,1236,93510,221000
4,2,1797,93510,450000
3,2,1404,93510,195000
3,2,1248,93510,240000
5,3,3167,93510,599900
6,4,3705,93510,765000
4,2.5,2362,93510,539900
4,2,2252,93510,585000
3,2,2752,93510,570000
4,2,2160,93510,384000
3,4,3312,93510,759000
3,2,2315,93510,499000
2,2,1344,92276,154900
2,2,1820,92276,225000
2,2,1152,92276,138500
2,2,1440,92276,97500
2,2,2015,92276,219000
2,2,1248,92276,103500
2,2,1598,92276,136900
2,2,1176,92276,135000
2,2.5,960,92276,135000
3,2,1482,92276,158888
2,2,1152,92276,74900
2,2,1344,92276,69900
3,2,1248,92276,139500
3,2,1478,92276,219900
2,2,1152,92276,99900
2,2,1040,92276,59900
2,2,1000,92276,118900
2,2,1440,92276,106000
2,2,1344,92276,67500
2,2,1640,92276,104950
2,2,1578,92276,97000
2,2,1512,92276,98900
2,2,1152,92276,99900
2,1.5,1056,92276,79900
2,2,1930,92276,164900
2,2,1240,92276,117000
4,2,1866,92276,256000
2,2,960,92276,61000
2,2,1388,92276,167400
2,2,1152,92276,97500
2,1,960,92276,63500
3,2,1200,92276,225000
2,2,1440,92276,77000
2,2,1248,92276,114500
2,2,1152,92276,96500
2,2,960,92276,79900
3,2,1397,92276,248500
2,2,1248,92276,117500
2,2,1248,92276,79900
2,2,1344,92276,84900
2,2,1440,92276,84900
3,2.5,2644,92276,379500
2,2,1020,92276,74900
2,2,1600,92276,147000
2,2,2024,92276,214900
2,1,780,92276,67900
3,2,1397,92276,199000
2,2,1544,92276,124900
2,2,1368,92276,69800
2,2,1624,92276,185000
1,1.5,1440,92276,87500
2,2,1840,92276,160000
3,2,1454,92276,122500
2,2,1040,92276,67900
2,2,1281,92276,139000
2,2,1152,92276,84900
2,2,1152,92276,99000
2,2,1536,92276,69900
2,1,960,92276,49900
2,2,1440,92276,154500
2,2,1344,92276,129900
3,2,1507,92276,235000
3,2,1766,92276,129000
2,2,1440,92276,83900
2,2,1940,92276,129500
3,2,2971,93446,2395000
2,2,1468,92276,125000
2,3,1280,92276,69900
2,2,960,92276,69500
2,2,1640,92276,79500
2,2,1056,92276,68500
2,2,1344,92276,117500
3,2,1806,92276,179000
2,2,1344,92276,89500
2,2,1120,92276,72000
2,2,1344,92276,104900
3,2,1376,92276,174900
3,2,1440,92276,169900
2,2,1486,92276,154000
3,2,1560,92276,189000
2,2,1440,92276,62500
2,2,1722,92276,174500
2,2,1344,92276,139000
2,2,1248,92276,50000
2,2,1440,92276,94900
2,2,1020,92276,42900
2,1,1000,92276,67000
2,2,1440,92276,99900
2,2,1680,92276,69500
2,2,1440,92276,99000
2,2,1440,92276,110000
4,3,2454,93510,5858000
3,2,2346,93510,557000
4,4,3254,93510,674900
3,2,1448,93510,349000
3,2,1734,93510,265000
4,3.5,3381,93510,725000
4,2,2272,93510,559000
3,2,3326,93510,549000
3,2,1508,93510,449000
4,3,3631,93510,699900
3,2.5,2824,93510,569000
4,2,1966,93510,530000
3,2,1387,93510,395000
3,3,2522,93510,705000
3,2,2095,93510,479000
3,2,1932,93510,309900
4,3,3624,93510,698777
3,3,2848,93510,547900
3,2,1152,93510,425000
4,3,1625,93510,639000
4,2,1717,93510,494000
4,4,3220,93510,699000
5,3.5,3342,93510,639000
3,3,2800,93510,630000
3,3,2362,93510,541000
3,2,2061,93510,529000
4,4,3522,93510,680000
2,1,1320,93510,520000
3,3,2356,93510,710000
3,3,2808,93510,599999
2,2,1059,93510,445000
4,3,2774,93510,599500
3,2.5,1991,93510,515000
4,4,3030,93510,759000
4,2,1916,93510,549950
6,5,4090,93510,859000
3,2,1400,93446,139900
3,2,1939,93446,575000
4,3,2118,93446,489900
3,2,1940,93446,530000
10,6,4188,93446,629000
3,1.5,1080,93446,325000
3,2,1170,93446,235000
3,3,2390,93446,769000
3,2,1469,93446,299900
4,3,1496,93446,515000
4,2.5,2699,93446,629000
3,3,2136,93446,689000
5,2,2544,93446,599000
4,3.5,2090,93446,499000
2,2,1248,93446,175000
4,4,4600,93446,1250000
3,2,1712,93446,310000
3,2,1920,93446,625000
3,2,1705,93446,499500
2,2,1742,93446,975000
4,3.5,3101,93446,895000
2,2,1056,93446,179900
2,2,1190,93446,739900
3,2,1410,93446,330000
3,2,1822,93446,510000
3,2,2198,93446,625000
2,2,1088,93446,280000
2,2,1088,93446,265000
6,5.5,5000,93446,2200000
2,2,1088,93446,275000
2,2,900,93446,125000
2,2,1538,93446,699500
3,2,1640,93446,425000
3,2,2108,93446,439000
2,1,854,93446,179000
4,3,2617,93446,579500
6,4.5,4386,93446,759000
3,2,1570,93446,435000
2,2,1257,93446,380000
4,2,2072,93446,429900
2,2,2213,93446,585000
3,2.5,1500,93446,319000
4,4,3000,93446,1495000
3,2,2330,93446,599900
3,2.5,1339,93446,344900
3,2,1472,93446,309995
4,4,2681,93446,572000
